"correcteur.median","median","correcteur.final","final","moyenne","resultat"
"BR",11,"ALC",17.5,14.9,"C"
"EN",14,"BR",16,15.2,"C"
"ALC",10.5,"ALC",13,12,"D"
"BR",17,"BR",13,14.6,"C"
"EG",14.5,"EN",14,14.2,"C"
"EG",12,"EN",19.5,16.5,"B"
"DH",8,"EG",18,14,"C"
"DH",14,"EG",20,17.6,"B"
"EG",6.5,"DH",5,5.6,"F"
"DH",15.5,"EG",18.5,17.3,"B"
"EG",19.5,"DH",17,18,"A"
"ALC",17.5,"ALC",16.5,16.9,"B"
"ALC",10,"ALC",14.5,12.7,"D"
"DH",7,"EG",9,8.2,"F"
"BR",19,"BR",18,18.4,"A"
"DH",11,"EG",19,15.8,"C"
"BR",12,"BR",13.5,12.9,"D"
"EG",8,"DH",15,12.2,"D"
"EN",14,"DH",18,16.4,"B"
"ALC",16.5,"ALC",19,18,"A"
"EN",19,"DH",18,18.4,"A"
"EN",16,"DH",16.5,16.3,"B"
"HP",16,"HP",17.5,16.9,"B"
"HP",12.5,"HP",16,14.6,"C"
"CFG",15.5,"CFG",18,17,"B"
"EG",16.5,"EN",15,15.6,"C"
"HP",18,"HP",18,18,"A"
"BR",16.5,"BR",20,18.6,"A"
"BR",19.5,"BR",20,19.8,"A"
"ALC",12,"ALC",10.5,11.1,"E"
"DH",16.5,"EG",19.5,18.3,"A"
"ALC",10,"ALC",17.5,14.5,"C"
"HP",16,"HP",15.5,15.7,"C"
"HP",11.5,"HP",13.5,12.7,"D"
"BR",12.5,"BR",16.5,14.9,"C"
"ALC",11.5,"ALC",17,14.8,"C"
"ALC",9,"ALC",14,12,"D"
"ALC",2,"CFG",2.5,2.3,"F"
"EG",5.5,"DH",11,8.8,"F"
"EG",12,"DH",17.5,15.3,"C"
"CFG",17.5,"CFG",16.5,16.9,"B"
"EG",13.5,"EN",18.5,16.5,"B"
"ALC",15.5,"ALC",20,18.2,"A"
"DH",1,"EG",0,0.4,"F"
"ALC",17,"ALC",18.5,17.9,"B"
"ALC",11,"ALC",13.5,12.5,"D"
"ALC",11,"ALC",17,14.6,"C"
"BR",20,"BR",20,20,"A"
"DH",15,"EG",19,17.4,"B"
"ALC",18,"ALC",20,19.2,"A"
"DH",13,"EG",6,8.8,"F"
"DH",13,"EG",14,13.6,"D"
"ALC",13,"ALC",17.5,15.7,"C"
"ALC",5.5,"CFG",4.5,4.9,"F"
"ALC",16,"ALC",16.5,16.3,"B"
"ALC",16.5,"ALC",12.5,14.1,"C"
"EN",10.5,"DH",14,12.6,"D"
"EN",3.5,"DH",0.5,1.7,"F"
"EG",12,"EN",14,13.2,"D"
"EN",11,"DH",16.5,14.3,"C"
"DH",2.5,"EG",7,5.2,"F"
"EN",13,"DH",5.5,8.5,"F"
"DH",7.5,"EG",17.5,13.5,"D"
"ALC",13.5,"ALC",12,12.6,"D"
"ALC",16,"ALC",18,17.2,"B"
"ALC",15,"ALC",15.5,15.3,"C"
"CFG",17.5,"HP",16,16.6,"B"
