"diameter","height"
360,207
380,225
460,180
290,220
294,320
685,260
630,330
466,275
553,300
271,270
375,298
151,155
230,200
320,225
525,290
750,320
895,350
425,225
830,350
390,240
215,175
389,300
262,210
199,170
146,110
686,280
139,125
487,250
640,270
243,130
430,290
272,230
340,230
404,260
111,95
449,250
565,275
311,250
425,270
177,190
335,200
405,220
690,300
465,260
305,210
305,250
378,280
497,300
377,280
262,230
310,260
385,270
940,360
1015,390
315,245
315,245
602,320
471,300
637,285
125,100
155,115
600,330
200,175
528,315
234,180
377,242
804,320
456,325
387,270
344,257
543,305
519,325
258,228
400,211
374,200
141,140
157,175
250,190
580,335
289,205
496,270
528,285
445,270
158,170
148,145
122,140
382,235
545,265
108,100
144,100
226,140
405,180
437,270
466,250
153,130
595,230
690,400
455,335
725,355
443,205
473,300
433,295
309,170
508,285
530,230
594,333
201,161
512,270
371,288
101,90
654,355
284,193
282,205
222,187
119,115
120,128
159,125
270,170
277,205
423,305
488,245
450,280
530,235
341,245
314,280
266,190
341,250
176,165
337,170
213,155
297,200
228,120
174,120
555,275
373,205
207,140
446,285
367,250
478,205
